date,price,availability,listingID
2016-04-16,110.0,False,9170112
2016-04-17,110.0,False,9170112
2016-04-10,110.0,False,9170112
2016-04-11,110.0,False,9170112
2016-04-12,110.0,False,9170112
2016-04-13,110.0,False,9170112
2016-06-18,110.0,False,9170112
2016-06-19,110.0,False,9170112
2016-06-16,110.0,False,9170112
2016-06-17,110.0,False,9170112
2016-06-14,110.0,False,9170112
2016-06-15,110.0,False,9170112
2016-06-12,110.0,False,9170112
2016-06-13,110.0,False,9170112
2016-06-10,110.0,False,9170112
2016-06-11,110.0,False,9170112
2016-07-02,110.0,False,9170112
2016-05-19,110.0,False,9170112
2016-05-18,110.0,False,9170112
2016-05-17,110.0,False,9170112
2016-05-16,110.0,False,9170112
2016-05-15,110.0,False,9170112
2016-05-14,110.0,False,9170112
2016-05-13,110.0,False,9170112
2016-05-12,110.0,False,9170112
2016-05-11,110.0,False,9170112
2016-05-10,110.0,False,9170112
2016-04-03,120.0,False,9170112
2016-04-02,120.0,False,9170112
2016-04-01,110.0,False,9170112
2016-04-07,110.0,False,9170112
2016-04-06,110.0,False,9170112
2016-04-05,110.0,False,9170112
2016-04-04,120.0,False,9170112
2016-04-09,110.0,False,9170112
2016-04-08,110.0,False,9170112
2016-06-09,110.0,False,9170112
2016-06-08,110.0,False,9170112
2016-06-05,110.0,False,9170112
2016-06-04,110.0,False,9170112
2016-06-07,110.0,False,9170112
2016-06-06,110.0,False,9170112
2016-06-01,110.0,False,9170112
